Comment,Predicted Label
غذا خیلی سرد صورتیکه فاصله خیلی کم,1.0
بهتره بتونیم ران سینه رو خودمون انتخاب کنیم,0.0
غذا بد حالم خیییییلی بده دل دردو دل پیچه معلوم چی توش ریختن افتضاااااااااح دوساعته ک حالم بده,1.0
سلام سابق بسته بندی کیفیت بهتری برخوردار ولی حال حاضر ایراداتی وجود داره طور نمونه نوشابه قوطی فاقد نی چنگال سرو سیب زمینی نداره دستمال کاغذی هم بسته بندی,1.0
سلام خیلی ممنون متشکرم,0.0
خیلی زود رسید ممنون م ازشون,0.0
مواد پیتزا بسیااار کم اینکه قیمت اصلا پایین ولی کلا طعم پیتزا خوب تازه,1.0
کیفیت زیاد خوب نبود,0.0
مرغی واسه آوردن بو میداد انگار مونده,1.0
چی خوب ولی اگه تخفیف نداشتم اصلا خرید نمیکردم چون گرونه برام,0.0
اصلا خوب نبود اصلا مخلفات نداشت خمیر خمیر من راضی نبودم,1.0
غذا بسیار لذیذ طعمی فوق العاده جوجه بسیار خوشمزه کباب بینظیر فقط برنج کمی شفته شده مزه غذا کمیت رو بین برد مزه بینظیر نشون داد سوپ بحدی عالی خیلی دوست داشتم بازم بخرم بخورم خواهشا تو منوتون سوپ کیلویی هم بزارید مدیر محترم کارکنان عزیز غنچه سپاسگزارم,0.0
تحویل اسنپ فود بسیار دیر غذا سرد شده اصلا دلیوری راضی نبودم,1.0
فکر نمیکردم برندی مثل رفتاری هم بتونه غذای افتضاح آماده کنه سوپ مزخرف کته مزخرف خورشت مزخرف حتی سالاد شیرازی بدون هیچ آبلیمویی واقعا اسم برند متاسفم,1.0
کیفیت پایینتر پایین حد یه ساندویچ ۸۹ تومنی,1.0
داغ تازه خوش عطر دستم رسید ازتون خواسته بودم نانها رو برش نزنین ممنونم توجه کردین,0.0
درخواست آب مرغ داده بودم نظر گرفته نشد نسبت قیمت لااقل باید موارد درخواستی مشتری منظور بشه,1.0
من سفارش نانه خامهای دادم ساده شکلاتی اوردن,1.0
بیشتر پیتزا خمیر پنیر بجای مخلفات سس هم نذاشته بودن,1.0
مثل همیشه سریع ودقیق,0.0
چی خوب فقط روغن جامد علاوه مغایر بودن نوع روغن قیمتش هم مشخص نبود قیمت خط زده بودن,1.0
هم سفارش زود رسید دستمون هم غذاها واقعا خوشمزه عالی بودن بقیه دوستان هم توصیه میکنم غذاهاشونو,0.0
غذای کیفیتی ولی حجم ب نجش خیلی کم,1.0
بلک فارست هیچ شباهت ظاهری تصویر موجود منو نداشت البته کیفیت پایینی هم موس شکلات گویا توت فرنگی روش اینکه داخل جعبه قرارداده بشه برداشته شده چون یه جایی روی کیک خالی معلوم توت فرنگی رو برداشتن کیک پای سیب عالی,1.0
خوب فقط خیلی بی نمک ادویه نداشت,0.0
همیشه راضی بودم ایندفعه پیتزا کهنه مونده نظر میرسید,1.0
راد عزیز متأسفانه دقت قبل ارسال سفارش دیده نمیشه الان ۲ روز پشت سرهم سفارش من ناقص ارسال میشه لطفا اقلامی هم احینا دیگه موجود ندارین اعلام کنید شاید بخواهیم مورد دیگری جایگزین کنید منطقی اعلام بشه مشتری احترام گذاشته بشه وگرنه خوب میشه شعب دیگر هم سفارش داد,1.0
کوکتل آرژانتینی بخاطر آب پز بودن خیلی دوست داشتم,1.0
غذای معمولی ای تاپنود حد پولش ولی سیب زمینی سرخ کرده هایش عالی صورت ممنون,0.0
اصلا فکر نمیکردم شدت غذا کیفیتش پایین باشه واقعا متاسفم همهی مواد بسیار بی کیفیت بد مززه من هرروز فست فود میخورم دیگه ۱ کیلومتری باروژ ام رد نمیشم,1.0
سفارش منو یه چیز دیگه فرستادین کلا وقتی یه چیزی رو موجود ندارین مجبور نیستین اسمشو بزنین بعد یه چیز دیگه جاش بزارید,1.0
کلا یه چیزای دیگه ارسال کردند,1.0
خوب خوشمزه فقط یه کم کوچیک مرغش,0.0
کیفیت بسیار بد من ساندویچ ژامبون ویژه سفارش دادم وسیب زمینی سوخاری متاسفانه کیفیت هردو بسیار پایین ژامبون بی کیفیت مواد اصلی ساندویچ سیب زمینی هم سبز کرده بسیار بد رنگ وچرب طوریکه روغن کف ظرف کاغذیو گرفته غذا هم سرد دستم رسید جز ٣ سس قرمز هیچ چیزی همراهش نبود نه سس دیگ ای نه نمک وفلفل طور کلی بسیار ضعیف وبی کیفیت,1.0
شیرینی ناپلئونی خیلی معمولی مزه ناپلئونی نداشت شیرینی زبان خشک بی مزه کلا شیرینی زبان رو ریخیتم دور من مشتریتونم ولی لطفا کمی کیفیت رو هم بهبود بدین ممنون,1.0
متاسفانه یکی آیتمها موجود نبود پشتیبانی اطلاع داد فاکتور حذف,1.0
چیکن ناندوز قبلا سفارش داده بودم هم نوع مرغ متفاوت هم تندی بسیار مناسب خوش طعمی متاسفانه بار اصلا خوب نبود تندی بیش حدی غیر قابل خوردن امریکن برگر هم متاسفانه مزه کباب دیگی میداد,1.0
من انتخابم همیشه سومر مارکت طاهر اجناس همیشه تازه روزن,0.0
غذا بعد ۱ ساعت نیم رفتار طلبکارانه پیک یخ کرده لیچ افتاده کمترین کاری میشه کرد سفارش ندادن دفعات بعدیه البته اگه مدیریت مهم مدیریت میکرد بی نظمیو بی کیفیتیو,1.0
بسیار عالی کاملا راضی بودم غذا موقع رسید بسیار خوشمزه تشکر,0.0
نان عالیییی ولی تاخیر خیلی خیلی زیاد,0.0
اصلا انتظار نداشتم انقدر بدمزه باشه کوکی انگار دوهفتس تو یخچال مامانبزرگم مونده ناپل اونی ام انگار لای چندتا نون لواش ی لایه نازک خامه زدی من همیشه ازینجا رولت میگیرفتم عالی ولی احتمالا دیگه ازینجا خرید نمیکنم,1.0
ساعت نیم منتظر بودیم,1.0
قوطی نوشابه همراه غذا دلیل فشرده شدن سوراخ شده کمی نوشابه بیرون ریخته لطفا تذکر دهید,0.0
بسته بندی ساندویچها شدت بی کیفیت ابتدایی طوری بجای اینکه ساندویچی پنیر پیتزا درش بکار رفته رو ظرف بگذارند بهش فشار نیاد نونش له نشه رو انداخته بودند توی پلاستیکه نامناسب هم ساندویچها له شده هم مواد داخلش بیرون ریخته کارد چنگال خوردیم کیفیت مهمتر کمیت,1.0
لیموترشها خیلی تازه نبودن,1.0
مرسی توجه توضیحات نونها عالی برشته,0.0
غذا بد بی کیفت,1.0
کیفیت غذا مناسب هزینه پیک بالا,0.0
موزش کم خیلی دیر رشید دستمون همش زمانش اضافه میشد ولی طعم خیلی خوبی,0.0
گوجهفرنگی کنار کباب سوخته بقیه بخصوص جوجه خوب,0.0
پیتزا مخلوط یه پیتزای کاملا عادی طعم نه چندان مورد سلیقه من فکر میکنم بشه پنیر خوش طعمتری استفاده کرد,0.0
خیلی ابتدایی بی مزه بد اصلا توصیه نمیکنم,1.0
میتونید جوری بسته بندی کنید اقلام سفارشی بهم فشرده نباشند ۹ عدد تخم مرغ ۳ شکستت برسه دست مشتری,1.0
زمان تحویل عالی سریع برخورد نفر پیک رضایت کامل کیفیت برنج خوب کبابش مععععمولی,0.0
نسبت قبل کیفیت کمتر شده محتویات هم کمتر شده توجه قیمتش دیگه بصرفه برش قطعات رو هم بزرگتر کردن مثل قبل کوچک,0.0
